# OWASP ZAP Rules Configuration
# Format: rule_id  action  description
#
# Actions:
#   IGNORE - Don't report this rule
#   WARN   - Report as warning
#   FAIL   - Fail the scan if found
#
# Common Rule IDs:
#   10010 - Cookie No HttpOnly Flag
#   10011 - Cookie Without Secure Flag
#   10015 - Re-examine Cache-control Directives
#   10016 - Web Browser XSS Protection Not Enabled
#   10017 - Cross-Domain JavaScript Source File Inclusion
#   10019 - Content-Type Header Missing
#   10020 - X-Frame-Options Header Missing
#   10021 - X-Content-Type-Options Header Missing
#   10023 - Information Disclosure - Debug Error Messages
#   10024 - Information Disclosure - Sensitive Information in URL
#   10025 - Information Disclosure - Sensitive Information in HTTP Referrer Header
#   10026 - HTTP Parameter Override
#   10027 - Information Disclosure - Suspicious Comments
#   10028 - Open Redirect
#   10029 - Cookie Poisoning
#   10030 - User Controllable Charset
#   10031 - User Controllable HTML Element Attribute (Potential XSS)
#   10032 - Viewstate
#   10033 - Directory Browsing
#   10034 - Heartbleed OpenSSL Vulnerability
#   10035 - Strict-Transport-Security Header Missing
#   10036 - HTTP Server Response Header
#   10037 - Server Leaks Information via "X-Powered-By" HTTP Response Header
#   10038 - Content Security Policy (CSP) Header Not Set
#   10039 - X-Backend-Server Header Information Leak
#   10040 - Secure Pages Include Mixed Content
#   10041 - HTTP to HTTPS Insecure Transition in Form Post
#   10042 - HTTPS to HTTP Insecure Transition in Form Post
#   10043 - User Controllable JavaScript Event (XSS)
#   10044 - Big Redirect Detected (Potential Sensitive Information Leak)
#   10045 - Source Code Disclosure - /WEB-INF folder
#   10046 - Source Code Disclosure - File Inclusion
#   10047 - HTTPS Content Available via HTTP
#   10048 - Remote Code Execution - Shell Shock
#   10049 - Content Cacheability
#   10050 - Retrieved from Cache
#   10051 - Relative Path Confusion
#   10052 - X-ChromeLogger-Data (XCOLD) Header Information Leak
#   10053 - Apache Range Header DoS (CVE-2011-3192)
#   10054 - Cookie Without SameSite Attribute
#   10055 - CSP: Wildcard Directive
#   10056 - X-Debug-Token Information Leak
#   10057 - Username Hash Found
#   10058 - GET for POST
#   10059 - Weak Authentication Method
#   10060 - Reverse Tabnabbing
#   10061 - X-AspNet-Version Response Header
#   10062 - PII Disclosure
#   10063 - Permissions Policy Header Not Set
#   10096 - Timestamp Disclosure
#   10097 - Hash Disclosure
#   10098 - Cross-Domain Misconfiguration
#   10099 - Source Code Disclosure
#   10103 - Application Error Disclosure
#   10104 - User Agent Fuzzer
#   10105 - Weak Authentication Method
#   10106 - HTTP Only Site
#   10107 - Httpoxy - Proxy Header Misuse
#   10108 - Reverse Tabnabbing
#   10109 - Modern Web Application
#   10110 - Dangerous JS Functions
#   10111 - Authentication Request Identified
#   10112 - Session Management Response Identified
#   10113 - Verification Request Identified
#   10202 - Absence of Anti-CSRF Tokens
#   10641 - Server Side Template Injection
#   10642 - Server Side Template Injection (Blind)
#   20012 - Anti CSRF Tokens Check
#   20014 - HTTP Parameter Pollution
#   20015 - Heartbleed OpenSSL Vulnerability (Indicative)
#   20016 - Cross-Domain Misconfiguration
#   20017 - Source Code Disclosure - CVE-2012-1823
#   20018 - Remote Code Execution - CVE-2012-1823
#   20019 - External Redirect
#   30001 - Buffer Overflow
#   30002 - Format String Error
#   30003 - Integer Overflow Error
#   40003 - CRLF Injection
#   40008 - Parameter Tampering
#   40009 - Server Side Include
#   40012 - Cross Site Scripting (Reflected)
#   40013 - Session Fixation
#   40014 - Cross Site Scripting (Persistent)
#   40016 - Cross Site Scripting (Persistent) - Prime
#   40017 - Cross Site Scripting (Persistent) - Spider
#   40018 - SQL Injection
#   40019 - SQL Injection - MySQL
#   40020 - SQL Injection - Hypersonic SQL
#   40021 - SQL Injection - Oracle
#   40022 - SQL Injection - PostgreSQL
#   40023 - Possible Username Enumeration
#   40024 - SQL Injection - SQLite
#   40025 - Proxy Disclosure
#   40026 - Cross Site Scripting (DOM Based)
#   40027 - SQL Injection - MsSQL
#   40028 - ELMAH Information Leak
#   40029 - Trace.axd Information Leak
#   40030 - Backslash Powered Scanning
#   40031 - Backdoor
#   40032 - .htaccess Information Leak
#   40033 - Spring Actuator Information Leak
#   40034 - Cloud Metadata Potentially Exposed
#   40035 - Hidden File Finder
#   40036 - Bypassing 403
#   40037 - Out of Band XSS
#   40038 - Log4Shell (CVE-2021-44228)
#   40039 - Spring4Shell (CVE-2022-22965)
#   90001 - Insecure JSF ViewState
#   90002 - Java Serialization Object
#   90003 - Sub Resource Integrity Attribute Missing
#   90004 - Insufficient Site Isolation Against Spectre Vulnerability
#   90011 - Character Set Mismatch
#   90017 - XSLT Injection
#   90018 - SQL Injection - Auth Bypass
#   90019 - Code Injection
#   90020 - Remote OS Command Injection
#   90021 - XPath Injection
#   90022 - Application Error Disclosure
#   90023 - XML External Entity Attack
#   90024 - Generic Padding Oracle
#   90025 - Expression Language Injection
#   90026 - SOAP Action Spoofing
#   90027 - Cookie Slack Detector
#   90028 - Insecure HTTP Method
#   90029 - SOAP XML Injection
#   90030 - WSDL File Detection
#   90033 - Loosely Scoped Cookie

# CRITICAL - Must fix before deployment
10010	FAIL	Cookie No HttpOnly Flag
10011	FAIL	Cookie Without Secure Flag
10020	FAIL	X-Frame-Options Header Missing
10021	FAIL	X-Content-Type-Options Header Missing
10035	FAIL	Strict-Transport-Security Header Missing
10038	FAIL	Content Security Policy (CSP) Header Not Set
10054	FAIL	Cookie Without SameSite Attribute
10202	FAIL	Absence of Anti-CSRF Tokens
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40018	FAIL	SQL Injection
90023	FAIL	XML External Entity Attack

# HIGH - Should fix soon
10016	WARN	Web Browser XSS Protection Not Enabled
10023	WARN	Information Disclosure - Debug Error Messages
10028	WARN	Open Redirect
10037	WARN	Server Leaks Information via X-Powered-By
10103	WARN	Application Error Disclosure
20019	WARN	External Redirect
40013	WARN	Session Fixation
40023	WARN	Possible Username Enumeration
90020	WARN	Remote OS Command Injection
90022	WARN	Application Error Disclosure

# MEDIUM - Monitor but don't fail build
10015	WARN	Re-examine Cache-control Directives
10017	WARN	Cross-Domain JavaScript Source File Inclusion
10019	WARN	Content-Type Header Missing
10024	WARN	Information Disclosure - Sensitive Information in URL
10027	WARN	Information Disclosure - Suspicious Comments
10036	WARN	HTTP Server Response Header
10049	WARN	Content Cacheability
10096	WARN	Timestamp Disclosure
10097	WARN	Hash Disclosure

# LOW - Informational only
10050	IGNORE	Retrieved from Cache
10057	IGNORE	Username Hash Found
10063	IGNORE	Permissions Policy Header Not Set
10109	IGNORE	Modern Web Application
90033	IGNORE	Loosely Scoped Cookie

# Development/Staging only - Ignore in production scans
10056	IGNORE	X-Debug-Token Information Leak (dev only)
10039	IGNORE	X-Backend-Server Header Information Leak (internal use)
